jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|disk:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=disk,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=disk, 
1043,  5069,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:03,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|disk:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  300,  11,  14,  3,  0.05005,  272,  0.05015,  7.72486084375e-08,  1.18754143466e-07, 
1043,  5080,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:03,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0001,  22,  0.1,  7.73139144916e-08,  1.18854538343e-07, 
1043,  5128,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:04,  7,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|disk:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  300,  12,  16,  5,  0.1,  521,  0.0003,  7.73028712792e-08,  1.18837561633e-07, 
1043,  5150,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:03,  6,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|disk:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  300,  10,  13,  2,  0.025075,  147,  0.075075,  4.77098557227e-08,  7.33442733256e-08, 
1043,  5179,  completed,  eof,  2018-09-29 23:26:58,  2018-09-29 23:27:03,  5,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|disk:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  300,  11,  15,  4,  0.075025,  396,  0.025225,  3.21188773029e-08,  4.93762909178e-08, 
1043,  5204,  completed,  eof,  2018-09-29 23:27:03,  2018-09-29 23:27:07,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_47.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0001,  47,  0.1,  1.78416732952e-08,  2.74279714941e-08, 
1043,  5205,  completed,  eof,  2018-09-29 23:27:03,  2018-09-29 23:27:08,  5,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|disk:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  300,  11,  14,  3,  0.055045,  296,  0.055135,  7.72502832746e-08,  1.1875671819e-07, 
1043,  5206,  completed,  eof,  2018-09-29 23:27:03,  2018-09-29 23:27:08,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.02008.modelParams|sensorParams|encoders|disk:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  300,  10,  13,  2,  0.02008,  122,  0.07009,  4.62379269024e-08,  7.10814798612e-08, 
1043,  5207,  completed,  eof,  2018-09-29 23:27:04,  2018-09-29 23:27:09,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.08002.modelParams|sensorParams|encoders|disk:n_371.modelParams|spParams|synPermInactiveDec_0.03021,  300,  10,  15,  4,  0.08002,  371,  0.03021,  3.21196979679e-08,  4.93775525246e-08, 
